symbol,weight,date,ttf_id,optimized_at
TTC,0.123879944,9/30/22,225,53:25.5
PCAR,0.114324005,9/30/22,225,53:25.5
LNN,0.112563641,9/30/22,225,53:25.5
OSK,0.105795524,9/30/22,225,53:25.5
ALSN,0.105363011,9/30/22,225,53:25.5
CAT,0.093939045,9/30/22,225,53:25.5
DE,0.089659938,9/30/22,225,53:25.5
TEX,0.088795557,9/30/22,225,53:25.5
CNHI,0.084808789,9/30/22,225,53:25.5
AGCO,0.080870547,9/30/22,225,53:25.5
TXN,0.136132792,9/30/22,154,53:30.0
INTC,0.12089193,9/30/22,154,53:30.0
TSM,0.109727383,9/30/22,154,53:30.0
ADI,0.082401756,9/30/22,154,53:30.0
AVGO,0.081556069,9/30/22,154,53:30.0
ASX,0.063045796,9/30/22,154,53:30.0
UMC,0.05806818,9/30/22,154,53:30.0
SWKS,0.052969546,9/30/22,154,53:30.0
QRVO,0.043787515,9/30/22,154,53:30.0
QCOM,0.042562186,9/30/22,154,53:30.0
NXPI,0.042478868,9/30/22,154,53:30.0
MU,0.038576932,9/30/22,154,53:30.0
MCHP,0.034971797,9/30/22,154,53:30.0
STM,0.032829251,9/30/22,154,53:30.0
AMD,0.01,9/30/22,154,53:30.0
ON,0.01,9/30/22,154,53:30.0
NVDA,0.01,9/30/22,154,53:30.0
MRVL,0.01,9/30/22,154,53:30.0
MPWR,0.01,9/30/22,154,53:30.0
WOLF,0.01,9/30/22,154,53:30.0
ADM,0.100332241,9/30/22,91,53:34.6
SMPL,0.098195861,9/30/22,91,53:34.6
LW,0.095458752,9/30/22,91,53:34.6
NOMD,0.082058516,9/30/22,91,53:34.6
HAIN,0.079081978,9/30/22,91,53:34.6
BRFS,0.077684595,9/30/22,91,53:34.6
FRPT,0.073961207,9/30/22,91,53:34.6
POST,0.065707624,9/30/22,91,53:34.6
MDLZ,0.065482245,9/30/22,91,53:34.6
TWNK,0.054854036,9/30/22,91,53:34.6
TSN,0.047525929,9/30/22,91,53:34.6
UL,0.039332344,9/30/22,91,53:34.6
LANC,0.010324671,9/30/22,91,53:34.6
HRL,0.01,9/30/22,91,53:34.6
SJM,0.01,9/30/22,91,53:34.6
KHC,0.01,9/30/22,91,53:34.6
K,0.01,9/30/22,91,53:34.6
JJSF,0.01,9/30/22,91,53:34.6
HSY,0.01,9/30/22,91,53:34.6
MKC,0.01,9/30/22,91,53:34.6
GIS,0.01,9/30/22,91,53:34.6
FLO,0.01,9/30/22,91,53:34.6
CPB,0.01,9/30/22,91,53:34.6
CAG,0.01,9/30/22,91,53:34.6
FMC,0.3,9/30/22,125,53:37.7
SQM,0.232281839,9/30/22,125,53:37.7
ALB,0.212244253,9/30/22,125,53:37.7
LTHM,0.130285431,9/30/22,125,53:37.7
LAC,0.125188476,9/30/22,125,53:37.7
VMC,0.068030098,9/30/22,48,53:41.9
MLM,0.065076054,9/30/22,48,53:41.9
AAON,0.061812228,9/30/22,48,53:41.9
CSL,0.05227555,9/30/22,48,53:41.9
AWI,0.051655583,9/30/22,48,53:41.9
EXP,0.049443859,9/30/22,48,53:41.9
NX,0.047664351,9/30/22,48,53:41.9
MAS,0.04250767,9/30/22,48,53:41.9
SUM,0.041907245,9/30/22,48,53:41.9
APOG,0.041143787,9/30/22,48,53:41.9
CARR,0.040606058,9/30/22,48,53:41.9
PGTI,0.039878353,9/30/22,48,53:41.9
SSD,0.039859679,9/30/22,48,53:41.9
BECN,0.039830521,9/30/22,48,53:41.9
IBP,0.037828189,9/30/22,48,53:41.9
BLD,0.033233924,9/30/22,48,53:41.9
LPX,0.027174219,9/30/22,48,53:41.9
ROCK,0.025439145,9/30/22,48,53:41.9
OC,0.023579378,9/30/22,48,53:41.9
DOOR,0.023506302,9/30/22,48,53:41.9
TGLS,0.023429554,9/30/22,48,53:41.9
GMS,0.021584591,9/30/22,48,53:41.9
JELD,0.017261654,9/30/22,48,53:41.9
WMS,0.017174566,9/30/22,48,53:41.9
ASPN,0.013980888,9/30/22,48,53:41.9
BLDR,0.012996264,9/30/22,48,53:41.9
SWIM,0.011120289,9/30/22,48,53:41.9
BXC,0.01,9/30/22,48,53:41.9
AZEK,0.01,9/30/22,48,53:41.9
TREX,0.01,9/30/22,48,53:41.9
IBM,0.213933107,9/30/22,45,53:45.0
LUMN,0.138108206,9/30/22,45,53:45.0
ORCL,0.135384419,9/30/22,45,53:45.0
VMW,0.115906044,9/30/22,45,53:45.0
GOOGL,0.113490556,9/30/22,45,53:45.0
MSFT,0.109377226,9/30/22,45,53:45.0
AMZN,0.094337992,9/30/22,45,53:45.0
BABA,0.07946245,9/30/22,45,53:45.0
LOPE,0.3,9/30/22,74,53:47.8
LRN,0.255241792,9/30/22,74,53:47.8
COUR,0.160317311,9/30/22,74,53:47.8
