,id,name
0,225,Heavy Equipment and Machinery
1,154,Semiconductors
2,91,Food Producers
3,125,Lithium mining
4,48,Construction materials
5,45,IT Cloud Infrastructure
6,74,EdTech
7,17,AI and Machine learning
8,262,Military and Defense
9,247,Car sales
10,115,Hotels and resorts
11,86,Restaurants and Fast food
12,65,Gold mining
13,250,Copper mining
14,90,FinTech
15,116,Cybersecurity
16,145,Real estate management (REIT Diversified)
17,264,Real estate management (REIT Office)
18,272,Virtual reality and AR
19,274,Railroads
20,240,3D printing
21,257,Gambling and betting
22,260,IT Infrastructure Monitoring Tools
23,263,Real estate management (REIT Industrial)
24,266,Real estate management (REIT Retail)
25,254,Farming companies
26,269,Ukrainian led companies
27,87,Investment Banking and Brokerage
28,162,Steel manufacturing
29,59,Cloud Database Management
30,275,Inflation proof
31,252,Cryptocurrencies mining
32,207,E-Commerce platforms
33,259,Healthcare
34,251,Crypto Exchanges
35,83,Big Tech
36,271,Video game industry
37,248,Coal mining
38,107,Green energy
39,134,Natural gas
40,173,Travel Technology
41,244,Government and Commercial Construction
42,19,Airlines
43,140,Vaccines companies
44,16,Agricultural Inputs
45,245,Analytics and BI Platforms
46,265,Real estate management (REIT Residential)
47,243,Cannabis
48,217,Advanced Materials
49,230,Electric vehicles charging
50,210,Internet Infrastructure
51,92,Oil and Gas Production
52,253,Electric vehicles (EV)
53,255,Firearms
54,256,Food retail chains
55,270,Utilities
56,268,Social Media
57,267,Silver mining
58,273,Water Utilities
59,241,Aerospace
60,242,Electric vehicles battery tech
61,258,Health insurance
62,246,Autoparts
63,42,Automotive manufacturing
64,261,Internet of things
65,249,Consumer staples
66,37,CRISPR / Gene editing
67,172,Trucking and transportation
68,73,Apparel Manufacturing and Retail
69,56,Cruise line
70,79,"Movies, Music and Entertainment"
71,205,Banking
72,191,Waste management
73,170,Telecom and Internet
74,208,Residential Construction
75,77,Power & Gas Utilities
76,95,Furniture and decor
77,118,Non-health Insurance
78,155,Logistics and Delivery
